"범죄별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"범죄별(1)",합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타
"합계",542546,73131,48922,590,155330,44390,7695,14656,50734,16519,3498,2985,1621,3993,2073,6439,1014,4110,2496,4215,5343,1458,6236,643,140,334,125,83856
"절도",180067,16703,10197,161,46862,34609,3951,4326,12642,3330,1261,1175,1068,1557,540,2444,486,1585,852,3660,1362,605,3536,94,12,7,58,26984
"장물",616,35,28,-,150,123,9,-,10,44,13,-,4,5,1,1,-,4,-,7,-,-,6,45,-,-,-,131
"손괴",58504,7577,4583,37,22937,1442,853,1669,3568,788,174,227,94,173,36,138,36,162,123,104,142,161,1428,93,3,3,25,11928
"살인",805,211,172,-,138,11,5,17,36,24,3,1,1,1,-,3,-,4,-,1,16,4,7,3,-,-,1,146
"강도",692,79,54,1,164,115,15,63,62,19,-,2,1,1,-,10,-,6,1,2,1,1,4,-,-,-,-,91
"방화",1210,288,317,-,178,28,30,46,53,47,12,7,8,3,1,5,-,13,11,5,13,13,12,-,-,-,-,120
"성폭력",30105,4391,2886,13,3533,1125,304,3414,3874,715,51,17,17,795,891,1089,107,269,349,22,413,57,36,7,22,34,4,5670
"폭행",143600,23483,13491,185,53395,4155,1339,1840,19382,3359,693,594,96,986,472,1991,149,1157,430,99,1471,185,251,85,57,158,8,14089
"상해",36022,4828,3310,56,12723,777,420,612,5954,1265,314,252,38,162,36,168,42,372,245,24,365,78,172,24,3,99,10,3673
"협박",21814,4541,3205,106,6561,617,148,193,1484,739,62,49,7,45,18,80,15,106,77,11,142,45,64,11,6,21,-,3461
"공갈",5993,351,399,2,843,172,48,90,210,338,14,23,1,10,1,17,6,58,37,25,31,8,4,-,4,4,-,3297
"약취와 유인",223,39,23,-,78,2,3,16,2,2,-,-,-,3,-,2,-,6,4,1,1,-,-,-,-,-,-,41
"체포와 감금",1467,236,144,6,288,25,12,123,69,69,5,6,3,2,-,113,6,7,16,2,39,7,6,-,1,3,-,279
"폭력행위등(손괴,강요,주거침입등)",982,206,166,1,106,29,20,42,38,76,20,18,2,1,-,-,3,6,37,-,5,16,31,2,-,-,1,156
"폭력행위등(단체등의구성, 활동)",140,4,9,-,35,4,8,2,30,6,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,37
"도박과 복표",8068,322,790,-,104,111,76,48,393,2157,15,-,31,2,-,2,10,35,11,4,2,1,18,2,18,-,-,3916
"과실치사상",2883,219,115,1,1273,91,41,26,241,45,21,18,-,83,31,20,102,139,12,4,45,5,38,4,1,3,1,304
"업무상 과실치사상",3604,73,48,10,486,122,16,57,70,37,430,464,23,16,6,45,27,59,25,2,758,4,73,237,2,-,2,512
"실화",2386,377,291,2,444,58,61,39,114,34,157,48,103,7,1,17,2,25,17,3,2,8,130,33,-,-,6,407
"주거 침입",18342,6354,6004,2,624,395,209,539,746,630,180,79,118,15,-,24,13,30,200,9,144,155,75,-,6,1,1,1789
"유기",235,20,23,-,6,-,-,-,2,2,1,1,-,-,-,-,-,1,36,-,15,93,1,1,-,-,-,33
"경범죄처벌법",7702,550,272,2,2350,127,43,42,618,2324,2,1,2,69,33,100,1,49,8,9,21,7,8,2,-,-,3,1059
"마약류관리에관한법률(대마)",1790,136,252,-,392,19,9,27,38,34,6,-,-,4,2,50,2,5,1,37,6,-,38,-,-,-,1,731
"마약류관리에관한법률(마약)",1899,27,1056,1,219,23,1,9,7,11,1,1,-,-,-,1,-,1,-,-,51,2,293,-,1,-,3,191
"마약류관리에관한법률(향정)",6916,727,674,4,1164,158,26,816,177,167,60,-,3,50,4,94,2,11,2,184,298,1,5,-,-,1,-,2288
"성매매알선등행위의처벌에관한법률",3511,1040,86,-,207,34,48,477,907,82,-,-,-,2,-,10,5,-,-,-,-,1,-,-,-,-,-,612
"아동·청소년의성보호에관한법률(성매수등)",286,31,21,-,43,1,-,100,5,1,-,-,-,1,-,14,-,-,-,-,-,-,-,-,-,-,-,69
"아동·청소년의성보호에관한법률(성착취물등)",2684,283,306,-,27,17,-,23,2,174,1,-,1,-,-,1,-,-,2,-,-,-,-,-,4,-,1,1842
